Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Booth,Constraint 3,Rejection Method,0.3,0.8,1.6,100,13,0.9978776370712332,7.233333333333333,8.5,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,0.5,0.8,1.6,13,13,0.9978682252622365,15.166666666666666,18.2,"Booth, Const3, Rejection"
Booth,Constraint 3,Rejection Method,1.0,0.8,1.6,13,13,0.9978481467363768,29.2,39.4,"Booth, Const3, Rejection"
Booth,Constraint 4,Penalty Method,0.05,0.8,1.6,13,13,0.9970459468828873,16.766666666666666,36.06666666666667,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.1,0.8,1.6,13,13,0.9996561552446522,14.3,26.233333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.25,0.8,1.6,13,13,0.998166265880467,16.733333333333334,24.533333333333335,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.8628989626617851,5.566666666666666,50.0,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,5,13,0.994666955295476,17.8,45.733333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,10,13,0.9961963742574476,14.933333333333334,25.0,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,13,1,0.9967648475208511,38.7,48.833333333333336,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,13,5,0.9981239127399815,22.5,28.5,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,13,10,0.9994296443747971,13.733333333333333,19.833333333333332,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,13,15,0.9987306606933052,12.566666666666666,19.833333333333332,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,13,20,1.0,10.333333333333334,10.333333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,25,13,1.0,10.1,10.1,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,50,13,1.0,7.1,7.1,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.3,0.8,1.6,100,13,1.0,6.233333333333333,6.233333333333333,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,0.5,0.8,1.6,13,13,1.0,13.433333333333334,13.433333333333334,"Booth, Const4, Penalty"
Booth,Constraint 4,Penalty Method,1.0,0.8,1.6,13,13,0.9999996862730335,25.9,26.8,"Booth, Const4, Penalty"
Booth,Constraint 4,Rejection Method,0.05,0.8,1.6,13,13,0.9965733172077673,12.733333333333333,36.9,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.1,0.8,1.6,13,13,0.9986586603544801,10.066666666666666,36.46666666666667,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.25,0.8,1.6,13,13,0.9985417970594371,11.2,36.43333333333333,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.8769133031214266,5.4,50.0,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,5,13,0.9934129886101426,11.133333333333333,48.666666666666664,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,10,13,0.9957399015211053,12.666666666666666,43.4,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,13,1,0.993491890942232,32.766666666666666,48.766666666666666,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,13,5,0.9955328417231768,16.466666666666665,44.233333333333334,"Booth, Const4, Rejection"
Booth,Constraint 4,Rejection Method,0.3,0.8,1.6,13,10,0.9986856408736042,13.4,41.13333333333333,"Booth, Const4, Rejection"
