Fitness Function,Constraint,Constraint Used,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,9,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,8,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,13,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,8,8
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.9984040610211258,46,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,19,19
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,8,8
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,15,15
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,29,29
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,21,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,24,24
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,36,50
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,6,6
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 3,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9298098696501405,11,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.776669244494407,6,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,19,19
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8935026008329312,27,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,28,28
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9988660575207136,35,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.8897466895613942,9,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.5617694106635593,10,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.5667129705070789,8,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9812124007527753,18,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9956937198556463,47,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.920202821601623,26,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,30,30
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,16,16
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9959614047696533,9,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9997231276867629,11,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.5191200470480544,10,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,20,20
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9241953327236438,10,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.5359597129117152,40,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9956937198556463,27,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.920202821601623,30,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9898623559551756,22,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,1.0,12,12
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.9986908402786541,11,50
Langermann,Constraint 4,true,Rejection Method,0.3,1.0,1.0,13,13,0.993358246677534,45,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,11,11
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,43,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,17,17
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.5667129705070789,9,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,31,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.5599820014933051,10,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9986908402786541,16,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.5635622308609268,30,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,27,27
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,20,20
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,21,21
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,9,9
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.5667129705070789,10,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9862388632244238,32,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9911057462935559,36,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,23,23
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.999898714386866,15,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.5191200470480544,11,50
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,36,36
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,1.0,15,15
Langermann,Constraint 4,true,Penalty Method,0.3,1.0,1.0,13,13,0.9682318307750533,22,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,10,10
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,13,13
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,12,12
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,14,14
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,7,7
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.8598745252464625,10,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,0.655711330787525,16,50
Schaffer,Constraint 1,false,Penalty Method,0.3,1.0,1.0,13,13,1.0,16,16
