Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Langermann,Constraint 3,Rejection Method,0.3,2.0,1.0,13,13,0.9898425773658283,16.4,31.6,"Langermann, Const3, Rejection"
Langermann,Constraint 3,Rejection Method,0.3,3.5,0.5,13,13,0.9727500924780602,34.166666666666664,37.233333333333334,"Langermann, Const3, Rejection"
Langermann,Constraint 4,Penalty Method,0.3,0.5,3.5,13,13,0.9277854950845132,11.9,18.433333333333334,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,1.0,1.0,13,13,0.9240017881382909,18.5,29.666666666666668,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,1.0,2.0,13,13,0.9398492379203555,14.566666666666666,20.066666666666666,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,2.0,1.0,13,13,0.9782012673184842,25.366666666666667,29.866666666666667,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,3.5,0.5,13,13,0.8771430894029367,31.633333333333333,44.1,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Rejection Method,0.3,0.5,3.5,13,13,0.897844208822896,17.333333333333332,26.066666666666666,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,1.0,1.0,13,13,0.912898446498291,19.333333333333332,38.93333333333333,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,1.0,2.0,13,13,0.9129120363535459,14.966666666666667,24.266666666666666,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,2.0,1.0,13,13,0.9039572571111126,20.466666666666665,36.6,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,3.5,0.5,13,13,0.898489975505465,33.93333333333333,46.06666666666667,"Langermann, Const4, Rejection"
Schaffer,Constraint 1,Penalty Method,0.3,0.5,3.5,13,13,0.9998355584836401,18.5,26.466666666666665,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,1.0,1.0,13,13,0.9313690065989498,16.933333333333334,32.03333333333333,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,1.0,2.0,13,13,0.9430461311367694,18.633333333333333,32.733333333333334,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,2.0,1.0,13,13,0.9845662293712121,24.833333333333332,32.36666666666667,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,3.5,0.5,13,13,0.9794273938659986,30.733333333333334,36.1,"Schaffer, without Const"
Schaffer,Constraint 3,Penalty Method,0.3,0.5,3.5,13,13,0.9999295250644171,14.633333333333333,18.466666666666665,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,1.0,1.0,13,13,0.979398672318342,15.433333333333334,22.8,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,1.0,2.0,13,13,0.9868733022002334,14.466666666666667,22.5,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,2.0,1.0,13,13,0.9999295250644171,17.433333333333334,21.4,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,3.5,0.5,13,13,0.9999295250644171,27.9,29.466666666666665,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Rejection Method,0.3,0.5,3.5,13,13,0.9998590501288345,15.166666666666666,22.8,"Schaffer, Const3, Rejection"
Schaffer,Constraint 3,Rejection Method,0.3,1.0,1.0,13,13,0.9998120668384459,15.266666666666667,24.9,"Schaffer, Const3, Rejection"
Schaffer,Constraint 3,Rejection Method,0.3,1.0,2.0,13,13,0.984439960590311,14.866666666666667,21.766666666666666,"Schaffer, Const3, Rejection"
Schaffer,Constraint 3,Rejection Method,0.3,2.0,1.0,13,13,0.988453236090668,15.8,20.666666666666668,"Schaffer, Const3, Rejection"
Schaffer,Constraint 3,Rejection Method,0.3,3.5,0.5,13,13,0.9999060334192229,24.333333333333332,27.966666666666665,"Schaffer, Const3, Rejection"
