{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.09019607843137255}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.24836601307189543}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.08627450980392157}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.12549019607843137}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.09019607843137255}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.10326797385620914}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.1607843137254902}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2196078431372549}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.1084967320261438}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.2169934640522876}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.1084967320261438}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.1084967320261438}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.12549019607843137}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.0915032679738562}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2261437908496732}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.257516339869281}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.1084967320261438}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.10326797385620914}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.1084967320261438}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.1411764705882353}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.12549019607843137}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.08627450980392157}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.19477124183006536}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.21830065359477124}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.17124183006535948}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.35555555555555557, 'best_acc': 0.35555555555555557}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.1843137254901961}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.09934640522875816}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.2222222222222222}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.10980392156862745}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.07973856209150326}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.13594771241830064}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.2196078431372549}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.20392156862745098}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.3137254901960784}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.12549019607843137}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.08627450980392157}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.0915032679738562}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.10980392156862745}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.35555555555555557, 'best_acc': 0.35555555555555557}
