{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.6976744186046512}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.5581395348837209}
{'C1': 1, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.7674418604651163}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.2558139534883721}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 1, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.5581395348837209}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.5581395348837209}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.5813953488372093}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.7906976744186046}
{'C1': 1, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.7674418604651163}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.4418604651162791}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.5116279069767442}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.5116279069767442}
{'C1': 1, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.5813953488372093}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.32558139534883723}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 1.5, 'C2': 0.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.32558139534883723}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.7441860465116279}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.7674418604651163}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.5581395348837209}
{'C1': 1.5, 'C2': 0.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.7441860465116279}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.5581395348837209}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.5813953488372093}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.7674418604651163}
{'C1': 1.5, 'C2': 0.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.813953488372093}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.32558139534883723}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.32558139534883723}
{'C1': 1.5, 'C2': 1, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.5581395348837209}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.5348837209302325}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.7674418604651163}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.7441860465116279}
{'C1': 1.5, 'C2': 1, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.7674418604651163}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.4883720930232558}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.5348837209302325}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.7674418604651163}
{'C1': 1.5, 'C2': 1, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.7209302325581395}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 50, 'acc': 0.5581395348837209}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 100, 'acc': 0.4883720930232558}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 250, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 1.5, 'W': 0.5, 'SwarmSize': 500, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 50, 'acc': 0.7441860465116279}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 100, 'acc': 0.7209302325581395}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.8837209302325582, 'best_acc': 0.8837209302325582}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 500, 'acc': 0.7906976744186046}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 50, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 100, 'acc': 0.4418604651162791}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 250, 'acc': 0.2558139534883721}
{'C1': 1.5, 'C2': 1.5, 'W': 0.9, 'SwarmSize': 500, 'acc': 0.627906976744186}
{'C1': 1.5, 'C2': 1.5, 'W': 0.75, 'SwarmSize': 250, 'acc': 0.8837209302325582, 'best_acc': 0.8837209302325582}
