Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.7719172966944454,7,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.0403008248501199,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6872850483306158,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9711171132434093,7,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.23716092266906802,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.513114306213194,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.07552363795162967,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.18004145922123066,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6322740337474901,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.8128747753731492,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.4239095780749065,2,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.0761535012599943,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.35084393368426164,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.28848456455374083,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.09209226247392416,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.23622209748422018,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9810366277334337,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.9481362277796014,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.3800079164432815,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.3254023246022717,4,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.8292768917378125,6,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.28908556429850435,5,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.42288829890150204,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.4148115590836648,8,50
Langermann,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.6680425238445453,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.038661253200127595,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.03960506303259935,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.41730562489237505,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.4654298686322798,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.5072337081166324,9,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.030266062960894416,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.35839057183285955,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.28813003209176635,7,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.11883668567043543,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.42227114349537365,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.06298359628001235,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.03211497048790276,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.1679090473804396,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.004089508045231889,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.00037214628216818385,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.15491118763540618,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.6639836034943167,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.3664362742334314,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.09574672217789389,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.34055925082103766,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.030658444594616283,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.04099219196592799,6,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.24894423546413233,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.024024429048631713,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.04805031651549509,4,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.005377133479796661,8,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.7945049830313303,5,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.0062304995856135486,2,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.020064659863403597,3,50
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.16542290487440794,2,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.10919210831096186,6,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.36263127790539584,4,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.422549998602952,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.4178242098581155,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.403788803616249,4,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.05316789047726063,5,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.01794363159658239,4,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.291613098578341,5,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.2393213639563209,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.0001836175885019846,5,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.19770903480542365,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.49412211243366644,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.000665819748580055,6,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.42247104021261794,4,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5599820014933051,6,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.5372436660108482,3,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.17434940846441171,6,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.0613781430862062,8,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.1360454336445502,4,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.09550620601630554,8,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.4667719435711799,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.048160696599784586,7,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.4118226009706203,5,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,1.0,4,4
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.3549621287830521,9,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.00039016013902802983,5,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.9118725255954114,6,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.07837834603974404,3,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.6531180232232598,2,50
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,1,13,0.0565163350637483,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.028012717833406548,3,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.8265737361933478,6,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.571798229805054,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5615573741106866,2,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5549114194564898,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5555517689634372,9,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5540211755215118,2,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5753001796312937,2,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5606535398302451,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5554655910938441,8,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5549070139286195,4,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5707044897738718,6,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.6119157576058553,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5566558137430102,3,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5946316016859603,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5566558137430102,6,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5575943394408381,6,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5533451703720264,2,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.55682919404336,6,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.6173934326352271,7,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5585186751531851,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5533600049205722,3,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5557860616248592,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.6555914072846926,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.7339090425490019,4,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5558747771011568,4,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5561764484690042,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5530152194451382,5,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5831369627202957,4,50
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5548269546989918,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5570340502794199,5,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.558677866567168,5,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5564303821812343,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.9992952506441721,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5578971086519959,5,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5581632458803961,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.6250098311215316,5,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5592216807706905,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.08968961275067405,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5542180907639868,3,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5752541112047279,3,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5620663113556894,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5537707405192814,7,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5617070783033141,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.558329537976525,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5409294058219459,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5606164140505876,6,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5506010022615567,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.6405502976656775,6,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5688453444213872,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5550950532915525,6,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5535411899084398,5,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5933805204837189,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.6430843136306058,4,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.6880299219455176,7,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5506547916119785,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5540882601666756,2,50
Schaffer,Constraint 3,Rejection Method,0.3,0.8,1.6,1,13,0.5540882601666756,7,50
